Model name:            AMD EPYC 7451 24-Core Processor
CPU MHz:               1800.000
-------------------------
Compiled for Zen with -O1:
TRIAD a[i] = b[i]+c[i]*d[i], 32 byte/it, 2 Flop/it
Size (KByte) |   runtime  |  MFlop/s  |  MB/s   |  MLUP/s | repeat | size
         5.6 | 0.21309400 |  3469.108 | 52934.4 |  1734.6 |  524288 |  705 
         7.3 | 0.27487397 |  3498.127 | 53377.2 |  1749.1 |  524288 |  917 
         9.5 | 0.36088204 |  3463.466 | 52848.3 |  1731.7 |  524288 | 1192 
        12.4 | 0.24578691 |  3306.305 | 50450.2 |  1653.2 |  262144 | 1550 
        16.1 | 0.29913306 |  3531.674 | 53889.1 |  1765.8 |  262144 | 2015 
        21.0 | 0.38688517 |  3549.142 | 54155.6 |  1774.6 |  262144 | 2619 
        27.2 | 0.25098586 |  3556.377 | 54266.0 |  1778.2 |  131072 | 3405 
        35.4 | 0.32575011 |  3562.582 | 54360.7 |  1781.3 |  131072 | 4427 
        46.0 | 0.21091199 |  3577.087 | 54582.0 |  1788.5 |   65536 | 5756 
        59.9 | 0.27413297 |  3577.391 | 54586.6 |  1788.7 |   65536 | 7482 
        77.8 | 0.36648011 |  3478.872 | 53083.4 |  1739.4 |   65536 | 9727 
