Model name:            Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz
CPU MHz:               1800.000
-------------------------
Compiled for Zen with -O1:
TRIAD a[i] = b[i]+c[i]*d[i], 32 byte/it, 2 Flop/it
Size (KByte) |   runtime  |  MFlop/s  |  MB/s   |  MLUP/s | repeat | size
         1.5 | 0.23843193 |  1671.164 | 25499.9 |   835.6 | 1048576 |  190 
         2.0 | 0.30539894 |  1696.131 | 25880.9 |   848.1 | 1048576 |  247 
         2.6 | 0.39148808 |  1719.556 | 26238.3 |   859.8 | 1048576 |  321 
         3.3 | 0.25169301 |  1737.260 | 26508.5 |   868.6 |  524288 |  417 
         4.3 | 0.32473803 |  1750.113 | 26704.6 |   875.1 |  524288 |  542 
         5.6 | 0.20989680 |  1760.975 | 26870.3 |   880.5 |  262144 |  705 
         7.3 | 0.27184582 |  1768.547 | 26985.9 |   884.3 |  262144 |  917 
         9.5 | 0.38350511 |  1629.578 | 24865.4 |   814.8 |  262144 | 1192 
        12.4 | 0.26175094 |  1552.328 | 23686.6 |   776.2 |  131072 | 1550 
        16.1 | 0.33196998 |  1591.168 | 24279.3 |   795.6 |  131072 | 2015 
        21.0 | 0.21034503 |  1631.974 | 24901.9 |   816.0 |   65536 | 2619 
        27.2 | 0.27298498 |  1634.889 | 24946.4 |   817.4 |   65536 | 3405 
        35.4 | 0.38521314 |  1506.324 | 22984.7 |   753.2 |   65536 | 4427 
        46.0 | 0.22985697 |  1641.130 | 25041.7 |   820.6 |   32768 | 5756 
        59.9 | 0.29988694 |  1635.084 | 24949.4 |   817.5 |   32768 | 7482 
        77.8 | 0.22214699 |  1434.790 | 21893.2 |   717.4 |   16384 | 9727 
Compiled for Zen with -O2:
TRIAD a[i] = b[i]+c[i]*d[i], 32 byte/it, 2 Flop/it
Size (KByte) |   runtime  |  MFlop/s  |  MB/s   |  MLUP/s | repeat | size
         1.5 | 0.24014187 |  1659.265 | 25318.4 |   829.6 | 1048576 |  190 
         2.0 | 0.30628085 |  1691.247 | 25806.4 |   845.6 | 1048576 |  247 
         2.6 | 0.39262199 |  1714.590 | 26162.6 |   857.3 | 1048576 |  321 
         3.3 | 0.25227189 |  1733.274 | 26447.7 |   866.6 |  524288 |  417 
         4.3 | 0.32517600 |  1747.756 | 26668.6 |   873.9 |  524288 |  542 
         5.6 | 0.21033120 |  1757.338 | 26814.9 |   878.7 |  262144 |  705 
         7.3 | 0.27190590 |  1768.156 | 26979.9 |   884.1 |  262144 |  917 
         9.5 | 0.38487411 |  1623.781 | 24776.9 |   811.9 |  262144 | 1192 
        12.4 | 0.25836611 |  1572.664 | 23997.0 |   786.3 |  131072 | 1550 
        16.1 | 0.33088303 |  1596.395 | 24359.1 |   798.2 |  131072 | 2015 
        21.0 | 0.21068478 |  1629.342 | 24861.8 |   814.7 |   65536 | 2619 
        27.2 | 0.27334809 |  1632.717 | 24913.3 |   816.4 |   65536 | 3405 
        35.4 | 0.37914205 |  1530.444 | 23352.7 |   765.2 |   65536 | 4427 
        46.0 | 0.23099518 |  1633.044 | 24918.3 |   816.5 |   32768 | 5756 
        59.9 | 0.30054998 |  1631.477 | 24894.4 |   815.7 |   32768 | 7482 
        77.8 | 0.22170377 |  1437.659 | 21936.9 |   718.8 |   16384 | 9727 
Compiled for Zen with -O3:
TRIAD a[i] = b[i]+c[i]*d[i], 32 byte/it, 2 Flop/it
Size (KByte) |   runtime  |  MFlop/s  |  MB/s   |  MLUP/s | repeat | size
         1.5 | 0.26112700 |  3051.840 | 46567.4 |  1525.9 | 2097152 |  190 
         2.0 | 0.31567287 |  3281.857 | 50077.2 |  1640.9 | 2097152 |  247 
         2.6 | 0.20128798 |  3344.391 | 51031.4 |  1672.2 | 1048576 |  321 
         3.3 | 0.25834203 |  3385.095 | 51652.5 |  1692.5 | 1048576 |  417 
         4.3 | 0.33738589 |  3369.010 | 51407.0 |  1684.5 | 1048576 |  542 
         5.6 | 0.21394801 |  3455.260 | 52723.1 |  1727.6 |  524288 |  705 
         7.3 | 0.27530885 |  3492.602 | 53292.9 |  1746.3 |  524288 |  917 
         9.5 | 0.26539016 |  2354.840 | 35932.0 |  1177.4 |  262144 | 1192 
        12.4 | 0.34795904 |  2335.466 | 35636.4 |  1167.7 |  262144 | 1550 
        16.1 | 0.22539186 |  2343.564 | 35759.9 |  1171.8 |  131072 | 2015 
        21.0 | 0.29063296 |  2362.276 | 36045.5 |  1181.1 |  131072 | 2619 
        27.2 | 0.37914205 |  2354.264 | 35923.2 |  1177.1 |  131072 | 3405 
        35.4 | 0.26677203 |  2175.100 | 33189.4 |  1087.5 |   65536 | 4427 
        46.0 | 0.31921721 |  2363.439 | 36063.2 |  1181.7 |   65536 | 5756 
        59.9 | 0.20814800 |  2355.729 | 35945.6 |  1177.9 |   32768 | 7482 
        77.8 | 0.30033612 |  2122.517 | 32387.0 |  1061.3 |   32768 | 9727 

Compiled for SKL with -O1
TRIAD a[i] = b[i]+c[i]*d[i], 32 byte/it, 2 Flop/it
Size (KByte) |   runtime  |  MFlop/s  |  MB/s   |  MLUP/s | repeat | size
         1.5 | 0.23851800 |  1670.561 | 25490.7 |   835.3 | 1048576 |  190 
         2.0 | 0.30537105 |  1696.286 | 25883.3 |   848.1 | 1048576 |  247 
         2.6 | 0.39123321 |  1720.677 | 26255.4 |   860.3 | 1048576 |  321 
         3.3 | 0.25158787 |  1737.986 | 26519.6 |   869.0 |  524288 |  417 
         4.3 | 0.32449889 |  1751.403 | 26724.3 |   875.7 |  524288 |  542 
         5.6 | 0.20983791 |  1761.469 | 26877.9 |   880.7 |  262144 |  705 
         7.3 | 0.27175188 |  1769.158 | 26995.2 |   884.6 |  262144 |  917 
         9.5 | 0.38340497 |  1630.003 | 24871.9 |   815.0 |  262144 | 1192 
        12.4 | 0.26400113 |  1539.096 | 23484.7 |   769.5 |  131072 | 1550 
        16.1 | 0.33144999 |  1593.665 | 24317.4 |   796.8 |  131072 | 2015 
        21.0 | 0.21013713 |  1633.588 | 24926.6 |   816.8 |   65536 | 2619 
        27.2 | 0.27263403 |  1636.994 | 24978.5 |   818.5 |   65536 | 3405 
        35.4 | 0.38547897 |  1505.285 | 22968.8 |   752.6 |   65536 | 4427 
        46.0 | 0.23034406 |  1637.660 | 24988.7 |   818.8 |   32768 | 5756 
        59.9 | 0.29933095 |  1638.121 | 24995.7 |   819.1 |   32768 | 7482 
        77.8 | 0.22185802 |  1436.659 | 21921.7 |   718.3 |   16384 | 9727 
Compiled for SKL with -O2
TRIAD a[i] = b[i]+c[i]*d[i], 32 byte/it, 2 Flop/it
Size (KByte) |   runtime  |  MFlop/s  |  MB/s   |  MLUP/s | repeat | size
         1.5 | 0.24086094 |  1654.311 | 25242.8 |   827.2 | 1048576 |  190 
         2.0 | 0.30726504 |  1685.830 | 25723.7 |   842.9 | 1048576 |  247 
         2.6 | 0.39377999 |  1709.548 | 26085.6 |   854.8 | 1048576 |  321 
         3.3 | 0.25276089 |  1729.920 | 26396.5 |   865.0 |  524288 |  417 
         4.3 | 0.32593012 |  1743.712 | 26606.9 |   871.9 |  524288 |  542 
         5.6 | 0.21034598 |  1757.215 | 26813.0 |   878.6 |  262144 |  705 
         7.3 | 0.27240610 |  1764.909 | 26930.4 |   882.5 |  262144 |  917 
         9.5 | 0.38434696 |  1626.008 | 24810.9 |   813.0 |  262144 | 1192 
        12.4 | 0.25860810 |  1571.193 | 23974.5 |   785.6 |  131072 | 1550 
        16.1 | 0.33025789 |  1599.417 | 24405.2 |   799.7 |  131072 | 2015 
        21.0 | 0.21118999 |  1625.444 | 24802.3 |   812.7 |   65536 | 2619 
        27.2 | 0.27408409 |  1628.333 | 24846.4 |   814.2 |   65536 | 3405 
        35.4 | 0.37904119 |  1530.851 | 23358.9 |   765.4 |   65536 | 4427 
        46.0 | 0.23109317 |  1632.351 | 24907.7 |   816.2 |   32768 | 5756 
        59.9 | 0.30036712 |  1632.470 | 24909.5 |   816.2 |   32768 | 7482 
        77.8 | 0.22294283 |  1429.668 | 21815.0 |   714.8 |   16384 | 9727 
Compiled for SKL with -O3
TRIAD a[i] = b[i]+c[i]*d[i], 32 byte/it, 2 Flop/it
Size (KByte) |   runtime  |  MFlop/s  |  MB/s   |  MLUP/s | repeat | size
         1.5 | 0.24711108 |  6449.875 | 98417.3 |  3224.9 | 4194304 |  190 
         2.0 | 0.36042118 |  5748.791 | 87719.6 |  2874.4 | 4194304 |  247 
         2.6 | 0.22043204 |  6107.876 | 93198.8 |  3053.9 | 2097152 |  321 
         3.3 | 0.27306390 |  6405.185 | 97735.4 |  3202.6 | 2097152 |  417 
         4.3 | 0.35424995 |  6417.256 | 97919.6 |  3208.6 | 2097152 |  542 
         5.6 | 0.22046089 |  6706.369 | 102331.1 |  3353.2 | 1048576 |  705 
         7.3 | 0.28248692 |  6807.708 | 103877.4 |  3403.9 | 1048576 |  917 
         9.5 | 0.32342911 |  3864.533 | 58968.1 |  1932.3 |  524288 | 1192 
        12.4 | 0.22391295 |  3629.296 | 55378.7 |  1814.6 |  262144 | 1550 
        16.1 | 0.31804085 |  3321.713 | 50685.3 |  1660.9 |  262144 | 2015 
        21.0 | 0.36079502 |  3805.791 | 58071.8 |  1902.9 |  262144 | 2619 
        27.2 | 0.23098803 |  3864.271 | 58964.1 |  1932.1 |  131072 | 3405 
        35.4 | 0.34398794 |  3373.698 | 51478.5 |  1686.8 |  131072 | 4427 
